n_components,best_lambda,baseline_mse,ridge_mse,mlp_mse,mlp_kl_mse,rf_mse
1,1000.0,279.13238567191473,278.94194795901274,279.1131,265.49628,360.75092865233466
2,70.54802310718645,279.13238567191473,271.1389107132759,279.42172,238.74553,203.37740764798414
3,6.5793322465756825,279.13238567191473,187.19473180272627,279.55588,148.36278,86.83891880697314
4,13.219411484660288,279.13238567191473,187.75247752240801,279.63336,126.23082,77.22695286829166
5,10.0,279.13238567191473,158.114668540519,283.30768,108.05752,69.8575878613517
6,15.199110829529332,279.13238567191473,123.41252464173381,283.3787,47.137596,49.77760338830245
7,6.5793322465756825,279.13238567191473,113.76023125737034,283.3951,37.00078,48.30723598881956
8,1.4174741629268048,279.13238567191473,109.76012055984604,285.81857,38.233734,48.72678067921855
